Model,ordinal_distance,severe_fnr,macro_f1_complement,complexity,param_iterations,param_depth,param_learning_rate,param_l2_leaf_reg,param_min_data_in_leaf,n_features,param_n_estimators,param_max_depth,param_num_leaves,param_min_child_samples,param_reg_alpha,param_reg_lambda,param_k_neighbors,param_hidden_dim,param_n_layers,param_dropout,param_d_token,param_n_heads,param_batch_size,param_subsample,param_colsample_bytree,param_min_child_weight
CatBoost,0.37543859649122807,0.49730094466936575,0.44618411271887914,1.4708999999999999,3558.0,7.0,0.2548257127041718,2.1508966962325067,28.0,N/A,,,,,,,,,,,,,,,,
LightGBM,0.3929824561403509,0.4993252361673415,0.46000293461883957,2.3538,,,0.001,,,N/A,1203.0,4.0,41.0,50.0,0.3407255731403571,0.09777548262068794,,,,,,,,,,
SpatialGNN,0.3824561403508772,0.43421052631578944,0.43912984409086464,1.631700540879359,,,0.0008085906870079592,,,N/A,,,,,,,4.0,19.0,1.0,0.05234271664712014,,,,,,
FT-Transformer,0.37543859649122807,0.49730094466936575,0.44618411271887914,1.6686286540463278,,,0.0012905411675127327,,,N/A,,,,,,,,,1.0,0.09235446025766604,24.0,2.0,20.0,,,
XGBoost,0.37543859649122807,0.49730094466936575,0.44618411271887914,2.3142,,,0.0012202128898888762,,,N/A,1887.0,3.0,,,0.1621660084479713,0.5106710832054501,,,,,,,,0.6364830342772012,0.561842532185828,4.0
CORAL,0.4280701754385965,0.41430499325236164,0.46294407037112606,1.632213856040092,,,0.005682376160043705,,,N/A,,,,,,,,24.0,2.0,0.010182207081332627,,,19.0,,,
TreeEnsemble,0.37543859649122807,0.4966261808367072,0.44562463411778486,1.47,,,,,,N/A,,,,,,,,,,,,,,,,
WeightedEnsemble,0.37543859649122807,0.49730094466936575,0.44618411271887914,1.47,,,,,,N/A,,,,,,,,,,,,,,,,
