Model,Rank,Q_Score,ordinal_distance,severe_fnr,macro_f1_complement,complexity,n_features
SpatialGNN,1,0.0,0.3824561403508772,0.43421052631578944,0.43912984409086464,1.631700540879359,N/A
TreeEnsemble,2,0.4190513272308221,0.37543859649122807,0.4966261808367072,0.44562463411778486,1.47,N/A
WeightedEnsemble,3,0.43045796748685383,0.37543859649122807,0.49730094466936575,0.44618411271887914,1.47,N/A
CatBoost,4,0.4305299245327968,0.37543859649122807,0.49730094466936575,0.44618411271887914,1.4708999999999999,N/A
FT-Transformer,5,0.44633877991440934,0.37543859649122807,0.49730094466936575,0.44618411271887914,1.6686286540463278,N/A
XGBoost,6,0.4979536765813506,0.37543859649122807,0.49730094466936575,0.44618411271887914,2.3142,N/A
CORAL,7,0.8991401166972754,0.4280701754385965,0.41430499325236164,0.46294407037112606,1.632213856040092,N/A
LightGBM,8,0.9290153306319746,0.3929824561403509,0.4993252361673415,0.46000293461883957,2.3538,N/A
