feature,train_mean,test_mean,train_std,test_std,ks_statistic,ks_pvalue,cohens_d,significant_shift
gwl,12.07433962264151,5.286328767123288,8.533991044277244,4.84975944813782,0.42457630247756895,2.4025188874440296e-30,-0.9779880258395346,True
ph,7.8931818181818185,7.840245231607629,0.45379872248216396,0.46436300434728356,0.06341342581124597,0.4209075329721519,-0.11530230752957778,False
ec,1310.6016042780748,1414.6983695652175,761.3469749007012,1000.9364682153054,0.04552720297605208,0.8118242715449457,0.11706160439580977,False
tds,838.7850267379679,905.4069565217392,487.2620639364487,640.5993396577954,0.04552720297605208,0.8118242715449457,0.11706160439580969,False
co3,7.0588235294117645,5.337048913043478,18.47864544511315,14.120556027901682,0.06877760985817252,0.3229113759413923,-0.10470145211476363,False
hco3,277.676969663476,310.8967391304348,125.74673673216677,135.98769855496153,0.15006684491978609,0.00040025854692190307,0.25364923618599017,True
cl,187.00534759358288,205.625,175.8978955997496,244.2407813292145,0.0677313415484771,0.3404990478775812,0.08748583449523059,False
f,1.2375695187165776,1.017926902173913,0.8243987453901419,0.8014199558427997,0.19430074401302022,1.2836670051550555e-06,-0.2701662635325568,True
no3,73.76674555677273,80.51994181157065,85.95553766553735,118.29246837437275,0.09968611950709137,0.04553518803547503,0.06531390716037679,False
so4,44.06818181818182,28.328668478260873,54.50082423962002,49.8498626339681,0.15263892118112066,0.00029821708607608146,-0.30136654708985894,True
na,122.49584182415775,124.2725,103.60618318787017,120.57310666543215,0.07229423389909323,0.2683688484151189,0.01580513027600971,False
k,7.832005347593583,7.351766304347826,20.979183720705212,21.691832624140794,0.06267437805161591,0.434391432892325,-0.02250577199147471,False
ca,73.54010695187166,89.61195652173912,55.00321458789418,75.39877685662377,0.1162084398976982,0.011895709009442803,0.24353622672453804,True
mg,50.48010695187166,51.553804347826095,35.99046615952552,45.44902237903003,0.05151418274819809,0.6803444906696681,0.02619192021468447,False
sar,2.8995497785962567,2.71337053836413,3.106552731058795,2.8775104734388637,0.10103754940711462,0.04112053876147727,-0.06217949471651871,False
